Sample_Name,Target_Name,Ct_Mean,Quantity_Mean,ControlGene,GeoMean,Normalized_data,Colony,Tissue,Batch
Sample 1,Orco,34.456,0.005,GADPH_Rab1A_RPL13A,10.84108798,0.000461208,1,L_Head,1
Sample 2,Orco,34.828,0.004,GADPH_Rab1A_RPL13A,8.388172215,0.000476862,1,L_Head,1
Sample 3,Orco,33.193,0.01,GADPH_Rab1A_RPL13A,8.551218563,0.001169424,1,L_Head,1
Sample 4,Orco,34.302,0.005,GADPH_Rab1A_RPL13A,8.92785995,0.000560045,1,L_Head,2
Sample 5,Orco,32.857,0.012,GADPH_Rab1A_RPL13A,8.805682851,0.001362756,1,L_Head,2
Sample 6,Orco,32.901,0.012,GADPH_Rab1A_RPL13A,8.995899744,0.001333941,1,L_Head,2
Sample 7,Orco,34.244,0.005,GADPH_Rab1A_RPL13A,8.048129293,0.000621262,2,L_Head,1
Sample 8,Orco,33.86,0.007,GADPH_Rab1A_RPL13A,11.18668248,0.000625744,2,L_Head,1
Sample 9,Orco,32.745,0.013,GADPH_Rab1A_RPL13A,9.009736839,0.001442883,2,L_Head,1
Sample 10,Orco,33.412,0.009,GADPH_Rab1A_RPL13A,8.732093028,0.001030681,2,L_Head,2
Sample 11,Orco,34.451,0.005,GADPH_Rab1A_RPL13A,8.208826262,0.0006091,2,L_Head,2
Sample 12,Orco,33.766,0.008,GADPH_Rab1A_RPL13A,12.91884342,0.00061925,2,L_Head,2
Sample 13,Orco,32.498,0.015,GADPH_Rab1A_RPL13A,14.18860381,0.001057186,3,L_Head,1
Sample 14,Orco,34.527,0.005,GADPH_Rab1A_RPL13A,10.71648741,0.000466571,3,L_Head,1
Sample 15,Orco,32.731,0.013,GADPH_Rab1A_RPL13A,8.303571233,0.001565591,3,L_Head,1
Sample 16,Orco,33.006,0.011,GADPH_Rab1A_RPL13A,10.87580521,0.001011419,3,L_Head,2
Sample 17,Orco,32.131,0.018,GADPH_Rab1A_RPL13A,12.82874318,0.001403099,3,L_Head,2
Sample 18,Orco,34.836,0.004,GADPH_Rab1A_RPL13A,8.928622119,0.000447997,3,L_Head,2
Sample 19,Orco,23.99,2.48,GADPH_Rab1A_RPL13A,8.612505405,0.287953375,1,P_AT,1
Sample 20,Orco,23.293,3.745,GADPH_Rab1A_RPL13A,8.842356377,0.423529639,1,P_AT,1
Sample 21,Orco,23.76,2.833,GADPH_Rab1A_RPL13A,8.582998101,0.330071144,1,P_AT,1
Sample 22,Orco,23.393,3.519,GADPH_Rab1A_RPL13A,6.787803262,0.518429875,1,P_AT,2
Sample 23,Orco,23.526,3.287,GADPH_Rab1A_RPL13A,8.997721444,0.36531471,1,P_AT,2
Sample 24,Orco,23.203,3.946,GADPH_Rab1A_RPL13A,11.01889927,0.358111995,1,P_AT,2
Sample 25,Orco,23.049,4.348,GADPH_Rab1A_RPL13A,9.156333838,0.474862546,2,P_AT,1
Sample 26,Orco,23.294,3.783,GADPH_Rab1A_RPL13A,9.004659497,0.42011583,2,P_AT,1
Sample 27,Orco,24.765,1.559,GADPH_Rab1A_RPL13A,6.252637623,0.249334776,2,P_AT,1
Sample 28,Orco,23.844,2.693,GADPH_Rab1A_RPL13A,9.076428529,0.296702606,2,P_AT,2
Sample 29,Orco,23.564,3.173,GADPH_Rab1A_RPL13A,7.897217947,0.401787062,2,P_AT,2
Sample 30,Orco,23.694,2.956,GADPH_Rab1A_RPL13A,7.984213266,0.370230591,2,P_AT,2
Sample 31,Orco,23.727,2.907,GADPH_Rab1A_RPL13A,6.868754514,0.423220832,3,P_AT,1
Sample 32,Orco,22.989,4.494,GADPH_Rab1A_RPL13A,7.862501863,0.571573791,3,P_AT,1
Sample 33,Orco,22.589,5.752,GADPH_Rab1A_RPL13A,9.797845396,0.587067847,3,P_AT,1
Sample 34,Orco,22.979,4.577,GADPH_Rab1A_RPL13A,12.15680553,0.376496933,3,P_AT,2
Sample 35,Orco,24.216,2.166,GADPH_Rab1A_RPL13A,7.725378855,0.280374599,3,P_AT,2
Sample 36,Orco,22.681,5.45,GADPH_Rab1A_RPL13A,10.77138342,0.505970291,3,P_AT,2
Sample 37,Orco,20.832,16.465,GADPH_Rab1A_RPL13A,12.79511573,1.286819154,1,A_AT,1
Sample 38,Orco,22.015,8.078,GADPH_Rab1A_RPL13A,6.758875089,1.195169299,1,A_AT,1
Sample 39,Orco,21.309,12.386,GADPH_Rab1A_RPL13A,10.02931361,1.234979828,1,A_AT,1
Sample 40,Orco,20.528,19.838,GADPH_Rab1A_RPL13A,14.84474894,1.336364803,1,A_AT,2
Sample 41,Orco,21.209,13.118,GADPH_Rab1A_RPL13A,10.23253281,1.281989537,1,A_AT,2
Sample 42,Orco,21.458,11.373,GADPH_Rab1A_RPL13A,9.316834459,1.220693579,1,A_AT,2
Sample 43,Orco,21.217,13.107,GADPH_Rab1A_RPL13A,9.234499786,1.419351378,2,A_AT,1
Sample 44,Orco,21.548,10.723,GADPH_Rab1A_RPL13A,7.154970993,1.498678333,2,A_AT,1
Sample 45,Orco,21.849,8.985,GADPH_Rab1A_RPL13A,7.048844005,1.274677095,2,A_AT,1
Sample 46,Orco,20.998,14.963,GADPH_Rab1A_RPL13A,10.00682309,1.495279757,2,A_AT,2
Sample 47,Orco,21.073,14.184,GADPH_Rab1A_RPL13A,8.557724638,1.657449918,2,A_AT,2
Sample 48,Orco,21.515,11.004,GADPH_Rab1A_RPL13A,7.997844682,1.37587068,2,A_AT,2
Sample 49,Orco,21.21,13.115,GADPH_Rab1A_RPL13A,9.661327522,1.357473905,3,A_AT,1
Sample 50,Orco,21.199,13.224,GADPH_Rab1A_RPL13A,9.547533031,1.385069835,3,A_AT,1
Sample 51,Orco,20.654,18.417,GADPH_Rab1A_RPL13A,10.79495546,1.706074663,3,A_AT,1
Sample 52,Orco,21.405,11.679,GADPH_Rab1A_RPL13A,9.666136712,1.208238653,3,A_AT,2
Sample 53,Orco,21.179,13.344,GADPH_Rab1A_RPL13A,10.62488547,1.25591942,3,A_AT,2
Sample 54,Orco,21.502,11.008,GADPH_Rab1A_RPL13A,9.508752287,1.157670288,3,A_AT,2
