Sample_Name,Target_Name,Ct_Mean,Quantity_Mean,ControlGene,GeoMean,Colony,Tissue,NorValue
Sample 1,Orco,31.633,0.006,GapDH_ppil2_RPL13A,2.322280391,1,L_Head,0.002583667
Sample 2,Orco,32.136,0.004,GapDH_ppil2_RPL13A,2.383168014,1,L_Head,0.001678438
Sample 3,Orco,32.841,0.003,GapDH_ppil2_RPL13A,1.780252709,1,L_Head,0.001685154
Sample 4,Orco,31.469,0.007,GapDH_ppil2_RPL13A,1.847854802,1,L_Head,0.003788176
Sample 5,Orco,31.942,0.005,GapDH_ppil2_RPL13A,1.829967676,1,L_Head,0.002732289
Sample 6,Orco,32.108,0.004,GapDH_ppil2_RPL13A,2.441244653,1,L_Head,0.001638508
Sample 7,Orco,32.439,0.004,GapDH_ppil2_RPL13A,1.538337384,2,L_Head,0.00260021
Sample 8,Orco,31.506,0.006,GapDH_ppil2_RPL13A,2.264670609,2,L_Head,0.002649392
Sample 9,Orco,32.759,0.003,GapDH_ppil2_RPL13A,1.984225763,2,L_Head,0.001511925
Sample 10,Orco,32.249,0.004,GapDH_ppil2_RPL13A,2.487541302,2,L_Head,0.001608014
Sample 11,Orco,32.538,0.003,GapDH_ppil2_RPL13A,1.582381072,2,L_Head,0.001895877
Sample 12,Orco,33.441,0.002,GapDH_ppil2_RPL13A,1.616885857,2,L_Head,0.001236946
Sample 13,Orco,33.564,0.002,GapDH_ppil2_RPL13A,1.976264517,3,L_Head,0.00101201
Sample 14,Orco,32.588,0.003,GapDH_ppil2_RPL13A,1.479519129,3,L_Head,0.002027686
Sample 15,Orco,32.431,0.004,GapDH_ppil2_RPL13A,2.080639519,3,L_Head,0.001922486
Sample 16,Orco,32.876,0.003,GapDH_ppil2_RPL13A,1.91524206,3,L_Head,0.001566382
Sample 17,Orco,31.421,0.007,GapDH_ppil2_RPL13A,2.541086692,3,L_Head,0.002754727
Sample 18,Orco,33.308,0.002,GapDH_ppil2_RPL13A,1.995385055,3,L_Head,0.001002313
Sample 19,Orco,22.237,2.495,GapDH_ppil2_RPL13A,1.926198887,1,P_AT,1.295297187
Sample 20,Orco,22.816,1.74,GapDH_ppil2_RPL13A,1.870154627,1,P_AT,0.93040435
Sample 21,Orco,23.12,1.424,GapDH_ppil2_RPL13A,1.95219253,1,P_AT,0.729436251
Sample 22,Orco,22.996,1.532,GapDH_ppil2_RPL13A,1.863935087,1,P_AT,0.821917035
Sample 23,Orco,22.823,1.723,GapDH_ppil2_RPL13A,1.693706534,1,P_AT,1.017295479
Sample 24,Orco,22.96,1.585,GapDH_ppil2_RPL13A,1.800852521,1,P_AT,0.880138702
Sample 25,Orco,22.67,1.888,GapDH_ppil2_RPL13A,1.998054398,2,P_AT,0.944919218
Sample 26,Orco,23.126,1.408,GapDH_ppil2_RPL13A,1.77622188,2,P_AT,0.79269376
Sample 27,Orco,22.946,1.581,GapDH_ppil2_RPL13A,1.977439904,2,P_AT,0.799518608
Sample 28,Orco,22.969,1.567,GapDH_ppil2_RPL13A,2.031997716,2,P_AT,0.771162284
Sample 29,Orco,22.517,2.084,GapDH_ppil2_RPL13A,2.072899389,2,P_AT,1.005355113
Sample 30,Orco,22.631,1.953,GapDH_ppil2_RPL13A,2.033458487,2,P_AT,0.960432688
Sample 31,Orco,23.271,1.286,GapDH_ppil2_RPL13A,1.53562394,3,P_AT,0.837444616
Sample 32,Orco,22.879,1.655,GapDH_ppil2_RPL13A,1.776676718,3,P_AT,0.93151443
Sample 33,Orco,23.036,1.491,GapDH_ppil2_RPL13A,1.986667918,3,P_AT,0.750502883
